Symbol,11/6/2025 16:00:00,11/7/2025 16:00:00,11/10/2025 16:00:00,11/11/2025 16:00:00,11/12/2025 16:00:00,11/13/2025 16:00:00,11/14/2025 16:00:00,11/17/2025 16:00:00,11/18/2025 16:00:00,11/19/2025 16:00:00,11/20/2025 16:00:00,11/21/2025 16:00:00,11/24/2025 16:00:00,11/25/2025 16:00:00,11/26/2025 16:00:00,12/2/2025 16:00:00,12/3/2025 16:00:00,12/4/2025 16:00:00,12/5/2025 16:00:00
VMM,1.31,1.3,1.38,1.38,1.45,1.33,1.35,1.38,1.32,1.35,1.37,1.26,1.34,1.4,0.98,1.03,1.12,1.17,1.17
APTUS,294.85,292.4,288.2,288.15,282.95,287.25,290.35,293.05,288.6,288.25,280.3,277.05,286.4,280.5,281.2,280.7,279.1,282.7,278.05,275.95,283.95,281.7
JUBLFOOD,583.25,576.5,584.35,580.05,585.3,573.5,615.3,603.2,600.35,595.15,591.15,589.05,589.05,593.05,605,606.65,601.5,609.35,603.45,589.2,590.9,593.2
COHANCE,723.85,707.6,704.95,691.05,689.9,629.1,615.5,611.45,596.45,582.25,581.85,589.3,569.8,560.8,568.15,574.7,564.4,552.8,545.6,543.7,549.1,542.55
JKCEMENT,5702,5636,5611,5526.5,5500.5,5626.5,5556,5606.5,5487,5707,5633.5,5621,5553,5585,5925,5841,5758,5783.5,5797,5706.5,5618.5,5625
BOSCHLTD,37020,36810,37280,36680,37255,37385,36955,37450,37045,36870,37050,36500,36200,35770,36485,36320,36110,36335,36660,36580,36845,36920
NYKAA,246.14,245.87,260.82,262.02,256.81,256.95,260.13,268.74,269,269.15,268.74,268.52,271.16,270.45,264.45,264.85,267.31,264.9,261.8,258.1,255.5,254.8
TRENT,4679.2,4627.3,4283.7,4315.8,4375.8,4326.4,4391.2,4404.6,4374,4358.9,4388.9,4359.1,4310.9,4243.9,4292.4,4266.1,4250.4,4215.9,4226.5,4188.2,4215.8,4183.1
SAIL,19.94,19.79,20.32,20.18,20.25,19.19,19.92,18.49,18.73,18.48,17.61,18.62,18.54,18.75,18.36,18.42,18.4,19.14,19.42,19.85,20.24
SHYAMMETL,839.3,860.55,851.3,854.8,863.65,852.55,855.8,856,847.55,836.7,835,826.2,811.85,818.4,827.1,818.95,813.9,820.15,808.6,804.75,801.2,802.9
FIRSTCRY,344.35,337.2,336.8,335.05,341.4,343.1,335.55,333.2,325.05,322.05,321.2,316.95,310.8,307.85,315.2,306,302.5,300.25,299.85,300.7,297.8,288.95
